action,source,source_id,date_iso,youtube_title,description,tags,playlist,expected_file,source_url,agenda_url,minutes_url,note
upload,archiveorg,cochwy-Dennis_Pino_talks_about_the_1985_Flood_in_Cheyenne_Wyo.,2015-07-09,"Dennis Pino talks about the 1985 Flood in Cheyenne, Wyo. — July 9, 2015","Dennis Pino talks about the 1985 Flood in Cheyenne, Wyo. — City of Cheyenne, Wyoming — July 9, 2015.

Source: Internet Archive community collection (https://archive.org/details/cochwy-Dennis_Pino_talks_about_the_1985_Flood_in_Cheyenne_Wyo.).
Original publisher materials courtesy of the City of Cheyenne.

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, city hall, PSA",City Hall Extras & PSAs,videos/archiveorg/ia_cochwy-Dennis_Pino_talks_about_the_1985_Flood_in_Cheyenne_Wyo..mp4,https://archive.org/details/cochwy-Dennis_Pino_talks_about_the_1985_Flood_in_Cheyenne_Wyo.,,,
upload,archiveorg,cochwy-Paul_Munoz_talks_about_the_1985_Flood_in_Cheyenne_Wyo.,2015-07-09,"Paul Munoz talks about the 1985 Flood in Cheyenne, Wyo. — July 9, 2015","Paul Munoz talks about the 1985 Flood in Cheyenne, Wyo. — City of Cheyenne, Wyoming — July 9, 2015.

Source: Internet Archive community collection (https://archive.org/details/cochwy-Paul_Munoz_talks_about_the_1985_Flood_in_Cheyenne_Wyo.).
Original publisher materials courtesy of the City of Cheyenne.

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, city hall, PSA",City Hall Extras & PSAs,videos/archiveorg/ia_cochwy-Paul_Munoz_talks_about_the_1985_Flood_in_Cheyenne_Wyo..mp4,https://archive.org/details/cochwy-Paul_Munoz_talks_about_the_1985_Flood_in_Cheyenne_Wyo.,,,
upload,archiveorg,cochwy-Tom_Coonts_Talks_About_1985_Flood_In_Cheyenne_Wyo,2015-07-09,"Tom Coonts Talks About 1985 Flood In Cheyenne, Wyo — July 9, 2015","Tom Coonts Talks About 1985 Flood In Cheyenne, Wyo — City of Cheyenne, Wyoming — July 9, 2015.

Source: Internet Archive community collection (https://archive.org/details/cochwy-Tom_Coonts_Talks_About_1985_Flood_In_Cheyenne_Wyo).
Original publisher materials courtesy of the City of Cheyenne.

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, city hall, PSA",City Hall Extras & PSAs,videos/archiveorg/ia_cochwy-Tom_Coonts_Talks_About_1985_Flood_In_Cheyenne_Wyo.mp4,https://archive.org/details/cochwy-Tom_Coonts_Talks_About_1985_Flood_In_Cheyenne_Wyo,,,
upload,archiveorg,cochwy-Bob_Bradshaw_Talks_About_the_1985_Flood_in_Cheyenne_Wyo.,2015-07-10,"Bob Bradshaw Talks About the 1985 Flood in Cheyenne, Wyo. — July 10, 2015","Bob Bradshaw Talks About the 1985 Flood in Cheyenne, Wyo. — City of Cheyenne, Wyoming — July 10, 2015.

Source: Internet Archive community collection (https://archive.org/details/cochwy-Bob_Bradshaw_Talks_About_the_1985_Flood_in_Cheyenne_Wyo.).
Original publisher materials courtesy of the City of Cheyenne.

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, city hall, PSA",City Hall Extras & PSAs,videos/archiveorg/ia_cochwy-Bob_Bradshaw_Talks_About_the_1985_Flood_in_Cheyenne_Wyo..mp4,https://archive.org/details/cochwy-Bob_Bradshaw_Talks_About_the_1985_Flood_in_Cheyenne_Wyo.,,,
upload,archiveorg,cochwy-Cheyenne_FIre_Chief_James_Martin_talks_about_the_1985_flood_in_Cheyenne_Wyo,2015-07-10,"Cheyenne FIre Chief James Martin talks about the 1985 flood in Cheyenne, Wyo — July 10, 2015","Cheyenne FIre Chief James Martin talks about the 1985 flood in Cheyenne, Wyo — City of Cheyenne, Wyoming — July 10, 2015.

Source: Internet Archive community collection (https://archive.org/details/cochwy-Cheyenne_FIre_Chief_James_Martin_talks_about_the_1985_flood_in_Cheyenne_Wyo).
Original publisher materials courtesy of the City of Cheyenne.

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, city hall, PSA",City Hall Extras & PSAs,videos/archiveorg/ia_cochwy-Cheyenne_FIre_Chief_James_Martin_talks_about_the_1985_flood_in_Cheyenne_Wyo.mp4,https://archive.org/details/cochwy-Cheyenne_FIre_Chief_James_Martin_talks_about_the_1985_flood_in_Cheyenne_Wyo,,,
upload,granicus,490,2015-07-13,"Cheyenne City Council Meeting — July 13, 2015","City Council Meeting — City of Cheyenne, Wyoming — July 13, 2015.
Duration (Granicus): 01h 13m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/490?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=490
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=490

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip490_2015-07-13_City_Council_Meeting.mp4,https://cheyenne.granicus.com/player/clip/490?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=490,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=490,
upload,archiveorg,cochwy-Cheyenne_Fire_Rescue_-_1931_American_LaFrance_Fire_Truck,2015-07-15,"Cheyenne Fire & Rescue: 1931 American LaFrance Fire Truck — July 15, 2015","Cheyenne Fire & Rescue: 1931 American LaFrance Fire Truck — City of Cheyenne, Wyoming — July 15, 2015.

Source: Internet Archive community collection (https://archive.org/details/cochwy-Cheyenne_Fire_Rescue_-_1931_American_LaFrance_Fire_Truck).
Original publisher materials courtesy of the City of Cheyenne.

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, city hall, PSA",City Hall Extras & PSAs,videos/archiveorg/ia_cochwy-Cheyenne_Fire_Rescue_-_1931_American_LaFrance_Fire_Truck.mp4,https://archive.org/details/cochwy-Cheyenne_Fire_Rescue_-_1931_American_LaFrance_Fire_Truck,,,
upload,archiveorg,cochwy-Gary_Stogsdill_from_the_City_of_Cheyenne_Wyo_talks_about_the_1985_Flood,2015-07-15,"Gary Stogsdill from the City of Cheyenne (Wyo) talks about the 1985 Flood — July 15, 2015","Gary Stogsdill from the City of Cheyenne (Wyo) talks about the 1985 Flood — City of Cheyenne, Wyoming — July 15, 2015.

Source: Internet Archive community collection (https://archive.org/details/cochwy-Gary_Stogsdill_from_the_City_of_Cheyenne_Wyo_talks_about_the_1985_Flood).
Original publisher materials courtesy of the City of Cheyenne.

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, city hall, PSA",City Hall Extras & PSAs,videos/archiveorg/ia_cochwy-Gary_Stogsdill_from_the_City_of_Cheyenne_Wyo_talks_about_the_1985_Flood.mp4,https://archive.org/details/cochwy-Gary_Stogsdill_from_the_City_of_Cheyenne_Wyo_talks_about_the_1985_Flood,,,
upload,granicus,492,2015-07-27,"Cheyenne City Council Meeting — July 27, 2015","City Council Meeting — City of Cheyenne, Wyoming — July 27, 2015.
Duration (Granicus): 01h 58m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/492?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=492
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=492

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip492_2015-07-27_City_Council_Meeting.mp4,https://cheyenne.granicus.com/player/clip/492?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=492,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=492,
upload,archiveorg,cochwy-Cheyenne_Botanic_Gardens_Project_Update_Aug_4_2015,2015-08-04,"Cheyenne Botanic Gardens Project Update Aug 4, 2015 — August 4, 2015","Cheyenne Botanic Gardens Project Update Aug 4, 2015 — City of Cheyenne, Wyoming — August 4, 2015.

Source: Internet Archive community collection (https://archive.org/details/cochwy-Cheyenne_Botanic_Gardens_Project_Update_Aug_4_2015).
Original publisher materials courtesy of the City of Cheyenne.

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, city hall, PSA",City Hall Extras & PSAs,videos/archiveorg/ia_cochwy-Cheyenne_Botanic_Gardens_Project_Update_Aug_4_2015.mp4,https://archive.org/details/cochwy-Cheyenne_Botanic_Gardens_Project_Update_Aug_4_2015,,,
upload,granicus,494,2015-08-10,"Cheyenne City Council Meeting — August 10, 2015","City Council Meeting — City of Cheyenne, Wyoming — August 10, 2015.
Duration (Granicus): 02h 41m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/494?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=494
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=494

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip494_2015-08-10_City_Council_Meeting.mp4,https://cheyenne.granicus.com/player/clip/494?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=494,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=494,
upload,granicus,496,2015-08-24,"Cheyenne City Council Meeting — August 24, 2015","City Council Meeting — City of Cheyenne, Wyoming — August 24, 2015.
Duration (Granicus): 01h 32m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/496?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=496
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=496

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip496_2015-08-24_City_Council_Meeting.mp4,https://cheyenne.granicus.com/player/clip/496?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=496,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=496,
upload,granicus,498,2015-09-14,"Cheyenne City Council Meeting — September 14, 2015","City Council Meeting — City of Cheyenne, Wyoming — September 14, 2015.
Duration (Granicus): 01h 18m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/498?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=498
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=498

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip498_2015-09-14_City_Council_Meeting.mp4,https://cheyenne.granicus.com/player/clip/498?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=498,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=498,
upload,granicus,500,2015-09-28,"Cheyenne City Council Meeting — September 28, 2015","City Council Meeting — City of Cheyenne, Wyoming — September 28, 2015.
Duration (Granicus): 00h 12m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/500?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=500
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=500

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip500_2015-09-28_City_Council_Meeting.mp4,https://cheyenne.granicus.com/player/clip/500?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=500,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=500,
upload,granicus,502,2015-10-12,"Cheyenne City Council Meeting — October 12, 2015","City Council Meeting — City of Cheyenne, Wyoming — October 12, 2015.
Duration (Granicus): 00h 28m.

Source: City of Cheyenne Granicus archive (https://cheyenne.granicus.com/player/clip/502?view_id=2&redirect=true).
Agenda: https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=502
Minutes: https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=502

This is a recording of a public meeting posted as a public record. Unofficial public archive. Not affiliated with or endorsed by the City of Cheyenne.","Cheyenne Wyoming, City Council, public meeting, Granicus, governing body",City Council Meetings,videos/granicus/granicus_clip502_2015-10-12_City_Council_Meeting.mp4,https://cheyenne.granicus.com/player/clip/502?view_id=2&redirect=true,https://cheyenne.granicus.com/AgendaViewer.php?view_id=2&clip_id=502,https://cheyenne.granicus.com/MinutesViewer.php?view_id=2&clip_id=502,
